District,Confirmed,Deaths
Kathmandu,91577,428
Lalitpur,14092,128
Morang,12427,63
Sunsari,8660,72
Rupandehi,8514,69
Bhaktapur,8336,96
Chitwan,6979,60
Kaski,5960,56
Kailali,5127,27
Jhapa,4582,33
Banke,4223,37
Makwanpur,4126,33
Dang,3769,33
Parsa,3421,54
Kavrepalanchowk,3162,28
Dhanusa,2970,26
Nawalparasi East,2858,6
Sarlahi,2816,17
Surkhet,2771,14
Rautahat,2763,17
Siraha,2221,21
Bara,2102,28
Kapilvastu,2095,17
Saptari,2080,22
Mahottari,2006,19
Palpa,1940,6
Bardiya,1706,12
Tanahun,1602,18
Dailekh,1593,4
Dhading,1590,18
Achham,1483,4
Kanchanpur,1481,7
Nawalparasi West,1450,19
Doti,1363,1
Gorkha,1353,12
Nuwakot,1325,13
Gulmi,1103,10
Baglung,1095,3
Syangja,1059,10
Pyuthan,1021,4
Lamjung,935,4
Sindhupalchowk,914,14
Arghakhanchi,892,7
Bajhang,892,1
Bajura,685,1
Dadeldhura,661,0
Dolakha,658,11
Baitadi,649,0
Salyan,639,0
Udayapur,632,8
Sindhuli,537,6
Ramechhap,503,7
Jumla,455,0
Illam,424,5
Parbat,413,2
Darchula,385,4
Sankhuwasabha,359,0
Kalikot,280,2
Rolpa,279,3
Dhankuta,250,7
Okhaldhunga,244,3
Rukum West,236,2
Myagdi,217,4
Khotang,206,0
Rasuwa,177,1
Solukhumbu,177,2
Panchthar,160,1
Bhojpur,145,2
Terhathum,137,5
Taplejung,131,0
Jajarkot,111,0
Rukum East,108,0
Mustang,38,2
Mugu,35,0
Humla,33,1
Dolpa,30,1
Manang,5,0
